index,V1_0-4,V1_5-15,V1_16-19,V1_20-59,V1_60+,V1_Risk_16-19,V1_Risk_20-59,V1_Risk_60+,V1_Clinical,V1_Crowded,V1_Disabled,V1_Edu,V1_Ethnic,V1_Factory,V1_Frontline,V1_Healthcare,V1_Military,V1_Shielding,V1_Police,V1_Pregnant,V1_PrimaryStu,V1_Religious,V1_Residents,V1_CareStaff,V1_TertiaryStu,V3_0-4,V3_5-19,V3_20-59,V3_60+,V3_Risk_16-19,V3_Risk_20-59,V3_Risk_60+,V3_Airport,V3_Clinically,V3_EduStu,V3_HighContact,V3_Multi,V3_Pregnant,V3_PrimaryStu,V1_IssuePoint,V2_H7_IssuePoint,V3_IssuePoint,VacCategory,VacDailySmoothed,CHI,GRI,SI,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,weekly_cases,biweekly_cases,reproduction_rate,daily_ people_1_dose,total_vaccinations,people_1_dose,people_2_doses,people_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
20210116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,448980,77.02,75.21,78.24,109,113.429,0,0.143,794,1110,1.31,,,,,,,,
20210117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,515306,77.02,75.21,78.24,109,114.286,0,0.143,800,1186,1.28,,,,,,,,
20210118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,581633,77.02,75.21,78.24,118,123.286,0,0.143,863,1271,1.28,,,,,,,,
20210119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,647959,77.02,75.21,78.24,103,121.571,0,0.143,851,1342,1.23,,,,,,,,
20210120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,714286,77.02,75.21,78.24,144,122.429,0,0,857,1423,1.2,,15000000,,,,,,
20210121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,770755,77.02,75.21,78.24,110,117.571,0,0,823,1480,1.14,,,,,,,,
20210122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,827224,77.02,75.21,78.24,100,113.286,0,0,793,1547,1.08,,,,,,,,
20210123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,883694,77.02,75.21,78.24,80,109.143,0,0,764,1558,1.03,,,,,,,,
20210124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,940163,77.02,75.21,78.24,124,111.286,0,0,779,1579,0.98,,,,,,,,
20210125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,996633,77.02,75.21,78.24,82,106.143,1,0.143,743,1606,0.93,,,,,,,,
20210126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,1053102,77.02,75.21,78.24,75,102.143,0,0.143,715,1566,0.87,,,,,,,,
20210127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,1109571,77.02,75.21,78.24,54,89.286,0,0.143,625,1482,0.81,,22767000,,,,,,
20210128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,995097,77.02,75.21,78.24,52,81,0,0.143,567,1390,0.76,,,,,,,,
20210129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,880622,77.02,75.21,78.24,52,74.143,0,0.143,519,1312,0.72,,,,,,,,
